state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,JHUNJHUNU,MS SURYA ENTERPRISES,,,suryaenterprisesjhu@gmail.com,7023953977,503,1717,2026-02-08T17:14:37.275756
RAJASTHAN,JHUNJHUNU,M/S VIJAYA INFRA SOLAR SYSTEM,,,vijayainfrasolarsystem@gmail.com,9001023666,471,1879,2026-02-08T17:14:38.751440
RAJASTHAN,JHUNJHUNU,KUMAR SOLAR HOUSE,:,,kumarsolarhouse@gmail.com,9664403106,446,1865,2026-02-08T17:14:40.101791
RAJASTHAN,JHUNJHUNU,M/S OM SOLAR ENERGY,,,omsolarenergy64@gmail.com,6375464133,328,1192,2026-02-08T17:14:41.627566
RAJASTHAN,JHUNJHUNU,MASTER SOLAR ELECTRONICS AND FURNITURE,,,mastersolar499@gamil.com,9982836555,246,952,2026-02-08T17:14:43.335845
RAJASTHAN,JHUNJHUNU,LAKSHAY ENTERPRISES,,,enterpriseslakshay555@gmail.com,7591071555,217,715,2026-02-08T17:14:44.789262
RAJASTHAN,JHUNJHUNU,MANGAL MURTI,,,mangalmurtinwh@gmail.com,9694962708,212,707,2026-02-08T17:14:46.332827
RAJASTHAN,JHUNJHUNU,M/S BHOOMI PLUS ONLINE & OFFLINE MARKETING PRIVATE LIMITED,,,ravin84suman@gmail.com,9256168834,208,790,2026-02-08T17:14:47.856585
RAJASTHAN,JHUNJHUNU,SHRI JAGDAMBA ELECTRONICS,,,hariramhariram0011@gmail.com,9649752921,201,667,2026-02-08T17:14:49.430034
RAJASTHAN,JHUNJHUNU,PRIYA BATTERY AND INVERTORS,,,sharwanchoudhary88@gmail.com,9414467748,199,696,2026-02-08T17:14:51.136770
RAJASTHAN,JHUNJHUNU,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,199,710,2026-02-08T17:14:52.725411
RAJASTHAN,JHUNJHUNU,AMIT SOLAR AND AGRO SOLUTIONS,,,amitsolarandagro@gmail.com,9829545897,156,635,2026-02-08T17:14:54.232781
RAJASTHAN,JHUNJHUNU,KARNI SOLAR POWER SOLUTION,,,ksps120@gmail.com,9783350123,152,585,2026-02-08T17:14:55.612942
RAJASTHAN,JHUNJHUNU,STABLE ENERGY PRIVATE LIMITED,,,energysolutions2022@gmail.com,7014920144,132,472,2026-02-08T17:14:57.163012
RAJASTHAN,JHUNJHUNU,SHEKHAWATI ENGINEERS COMPANY,,,bajranglaldhewa@gmail.com,9529449269,130,476,2026-02-08T17:14:58.645250
