state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Jaipur,MS SURYA ENTERPRISES,,,suryaenterprisesjhu@gmail.com,7023953977,503,1717,2026-02-08T17:17:25.254442
RAJASTHAN,Jaipur,M/S VIJAYA INFRA SOLAR SYSTEM,,,vijayainfrasolarsystem@gmail.com,9001023666,471,1879,2026-02-08T17:17:26.659227
RAJASTHAN,Jaipur,KUMAR SOLAR HOUSE,:,,kumarsolarhouse@gmail.com,9664403106,446,1865,2026-02-08T17:17:28.227587
RAJASTHAN,Jaipur,M/S OM SOLAR ENERGY,,,omsolarenergy64@gmail.com,6375464133,328,1192,2026-02-08T17:17:29.941729
RAJASTHAN,Jaipur,MASTER SOLAR ELECTRONICS AND FURNITURE,,,mastersolar499@gamil.com,9982836555,246,952,2026-02-08T17:17:31.450246
RAJASTHAN,Jaipur,LAKSHAY ENTERPRISES,,,enterpriseslakshay555@gmail.com,7591071555,217,715,2026-02-08T17:17:32.800357
RAJASTHAN,Jaipur,MANGAL MURTI,,,mangalmurtinwh@gmail.com,9694962708,212,707,2026-02-08T17:17:34.407638
RAJASTHAN,Jaipur,M/S BHOOMI PLUS ONLINE & OFFLINE MARKETING PRIVATE LIMITED,,,ravin84suman@gmail.com,9256168834,208,790,2026-02-08T17:17:36.028002
RAJASTHAN,Jaipur,SHRI JAGDAMBA ELECTRONICS,,,hariramhariram0011@gmail.com,9649752921,201,667,2026-02-08T17:17:37.651593
RAJASTHAN,Jaipur,PRIYA BATTERY AND INVERTORS,,,sharwanchoudhary88@gmail.com,9414467748,199,696,2026-02-08T17:17:39.145909
RAJASTHAN,Jaipur,MILAN SOUR URJA KENDRA,,,mmilansolar@gmail.com,7877057615,199,710,2026-02-08T17:17:40.834443
RAJASTHAN,Jaipur,AMIT SOLAR AND AGRO SOLUTIONS,,,amitsolarandagro@gmail.com,9829545897,156,635,2026-02-08T17:17:42.450182
RAJASTHAN,Jaipur,KARNI SOLAR POWER SOLUTION,,,ksps120@gmail.com,9783350123,152,585,2026-02-08T17:17:43.871057
RAJASTHAN,Jaipur,STABLE ENERGY PRIVATE LIMITED,,,energysolutions2022@gmail.com,7014920144,132,472,2026-02-08T17:17:45.249137
RAJASTHAN,Jaipur,SHEKHAWATI ENGINEERS COMPANY,,,bajranglaldhewa@gmail.com,9529449269,130,476,2026-02-08T17:17:46.882701
RAJASTHAN,Jaipur,LUCKY ENTERPRISES,,,luckyenterprises00007@gmail.com,7023777259,121,395,2026-02-08T17:17:48.576514
RAJASTHAN,Jaipur,MANYA POWER SOLUTIONS,,,manyapowersolutions@gmail.com,9680054907,116,418,2026-02-08T17:17:50.138662
RAJASTHAN,Jaipur,SOLARONEV CONSULTING AND TRADING SOLUTIONS,,,pankaj1jan@gmail.com,9216501940,94,335,2026-02-08T17:17:51.769988
RAJASTHAN,Jaipur,MBM INFRA,,,mbminfra2024@gmail.com,9772000666,94,339,2026-02-08T17:17:53.366530
RAJASTHAN,Jaipur,MS SOLAR URJA KENDRA,,,mssolarurjakendra@outlook.com,9680135005,93,321,2026-02-08T17:17:54.797688
RAJASTHAN,Jaipur,NAAZ SOLAR,,,naazsolarsales@gmail.com,9784537867,92,389,2026-02-08T17:17:56.302658
RAJASTHAN,Jaipur,NEW INDIA ENERGY SOLUTIONS,,,nies1219@gmail.com,8290961432,76,298,2026-02-08T17:17:57.833090
RAJASTHAN,Jaipur,JAYOTI TRADING COMPANY,,,vishmbardayal141@gmail.com,9791715698,71,230,2026-02-08T17:17:59.356774
RAJASTHAN,Jaipur,SHREE SHYAM ENTERPRISES,,,shreeshyamnwh@gmail.com,9116374431,70,239,2026-02-08T17:18:01.021837
RAJASTHAN,Jaipur,CHAHAR TRADING COMPANY,,,ak9392930@gmail.com,8854987000,69,250,2026-02-08T17:18:02.829448
RAJASTHAN,Jaipur,NISHAANK SOLAR ENERGY AND SUPPLIERS,,,1384@gmail.com,9782942305,66,280,2026-02-08T17:18:04.502046
RAJASTHAN,Jaipur,MS CHURU SOLAR ENERGY,,,churusolarenergy10@gmail.com,7297051697,65,224,2026-02-08T17:18:06.248510
RAJASTHAN,Jaipur,ARAYA SOLAR POWER,,,arayasolarpower@gmail.com,9610628797,60,220,2026-02-08T17:18:07.810936
RAJASTHAN,Jaipur,SHRI DEVESH POWER SOLUTIONS,,,0808dps@gmail.com,9982811891,56,218,2026-02-08T17:18:09.282135
RAJASTHAN,Jaipur,JAI KISAAN SOLAR PVT. LTD,,,info@jaikisaansolar.com,9462633648,48,182,2026-02-08T17:18:10.770358
RAJASTHAN,Jaipur,SHREE INNOVATIONS,,,ECB1992@GMAIL.COM,9460584185,47,157,2026-02-08T17:18:12.252349
RAJASTHAN,Jaipur,AARAV CONSTRUCTION COMPANY,,,manphoolnehra@gmail.com,9887378770,47,160,2026-02-08T17:18:13.857599
RAJASTHAN,Jaipur,M/S LAXMI LOOM SOLAR,,,laxmiloomsolars@gmail.com,9699335476,46,201,2026-02-08T17:18:15.444163
RAJASTHAN,Jaipur,BHARAT HARDWARE AND SOLAR,,,bharatsolarcare@gmail.com,9461141555,46,203,2026-02-08T17:18:16.855347
RAJASTHAN,Jaipur,ANAND SOLAR AND ENERGY SERVICES,,,rakeshjangirchirasan@gmail.com,9928187990,46,163,2026-02-08T17:18:18.420509
RAJASTHAN,Jaipur,SHREE MANSA MANUFACTURERS (FORMERLY KNOWN AS MANSA MANUFACTURERS),:,,jat@gmail.com,8306890465,41,151,2026-02-08T17:18:19.959239
RAJASTHAN,Jaipur,ROSA PRIMAA,,,primaa2024@gmail.com,9602263311,30,115,2026-02-08T17:18:21.470015
