state,district,company_name,brand_name,contact_person,email,phone,installations,capacity_kwp,scraped_at
RAJASTHAN,Jhalawar,GUPTA AND MAHINDRA TRACTORS,:,,guptatractors@gmail.com,9079158750,190,763,2026-02-08T17:22:06.714213
RAJASTHAN,Jhalawar,ADITYA SOLARS,,,RAJKUMARMEENA10680@GMAIL.COM,8306170662,151,662,2026-02-08T17:22:08.251766
RAJASTHAN,Jhalawar,SOLAR PLANET,,,raj@gmail.com,9887755000,118,386,2026-02-08T17:22:09.713092
RAJASTHAN,Jhalawar,SHREE KUNJ BATTERIES,:,,shambu@gmail.com,9928661346,107,447,2026-02-08T17:22:11.266220
RAJASTHAN,Jhalawar,SS NEXT VISION,,,ssnextvision@gmail.com,7891411666,64,251,2026-02-08T17:22:12.695587
RAJASTHAN,Jhalawar,SHRI RAM ENTERPRISES,,,enterprises0528@gmail.com,9929927733,57,240,2026-02-08T17:22:14.237302
RAJASTHAN,Jhalawar,VIJAY SHREE SOLAR CORPORATION,:,,vijayshreesolar@gmail.com,7737330685,39,151,2026-02-08T17:22:15.691819
RAJASTHAN,Jhalawar,AND ENERGIES,,,andenergies@gmail.com,8764179642,36,145,2026-02-08T17:22:17.307635
RAJASTHAN,Jhalawar,SAMEVA ENERGY PRIVATE LIMITED,,,samevaenergy@gmail.com,9214088682,31,117,2026-02-08T17:22:18.901612
RAJASTHAN,Jhalawar,VINAYAKAM SOLUTION,,,vinayakamsolution@gmail.com,8003535060,27,109,2026-02-08T17:22:20.587695
RAJASTHAN,Jhalawar,SKY VOLT PRIVATE LIMITED,,,skyvoltprivatelimited@gmail.com,9887168728,17,58,2026-02-08T17:22:21.868425
RAJASTHAN,Jhalawar,SHREE RAM ENTERPRISES,:,,solarnikhil@gmail.com,8233926666,16,56,2026-02-08T17:22:23.539629
RAJASTHAN,Jhalawar,AVN ENERGY,,,avnenergyindia@gmail.com,8306795399,16,65,2026-02-08T17:22:25.111735
RAJASTHAN,Jhalawar,SUNPRIME ENERGY SOLUTIONS,:,,sunprimesolars@gmail.com,9414650901,14,58,2026-02-08T17:22:26.793373
RAJASTHAN,Jhalawar,GODAWERI ENGINEERS,,,godaweriengineers@gmail.com,9950382013,14,64,2026-02-08T17:22:28.417115
RAJASTHAN,Jhalawar,LEELMAX POWER SOLUTION PVT LTD,,,leelmax2016@gmail.com,9587514401,11,47,2026-02-08T17:22:29.955450
RAJASTHAN,Jhalawar,DUBEY ELECTRICALS,,,balkrishandubey2016@gmail.com,9950567545,11,48,2026-02-08T17:22:31.571242
